Unnamed: 0,County,Neighborhood,Room,Saloon,m2,Price,latitude,longitude
0,Yenimahalle,Yeni Batı Mahallesi,1.0,1,55,35000,39.9744626,32.6967138
1,Etimesgut,Süvari Mahallesi,3.0,1,125,23500,39.9487007,32.6455548
2,Çankaya,Prof. Dr. Ahmet Taner Kışlalı Mahallesi,4.0,1,195,75000,39.8739193,32.6878754
3,Çankaya,Erzurum Mahallesi,2.0,1,80,17000,39.9309574,32.8717502
4,Çankaya,Konutkent Mahallesi,1.0,0,45,25000,39.877841,32.6679958
5,Keçiören,Etlik Mahallesi,3.0,1,120,28500,39.9799604,32.8284002
6,Sincan,Atatürk Mahallesi,3.0,1,160,30000,39.9641128,32.5816913
7,Altındağ,Aydınlıkevler Mahallesi,1.0,1,75,21000,39.9627386,32.8748794
8,Mamak,Mehtap Mahallesi,3.0,1,115,16000,39.9327491,32.897245
9,Mamak,Şahintepe Mahallesi,3.0,1,120,22000,39.9189342,32.9165611
10,Etimesgut,Yeni Bağlıca Mahallesi,3.5,1,165,53000,39.9007102,32.6397785
11,Keçiören,Pınarbaşı Mahallesi,3.0,1,110,21000,40.002022,32.86543
12,Yenimahalle,Çiğdemtepe Mahallesi,4.0,1,218,37000,39.9929077,32.7934763
13,Mamak,Derbent Mahallesi,3.0,1,120,25500,39.9230539,32.9332978
14,Keçiören,İncirli Mahallesi,2.0,1,115,10000,39.9845847,32.846361
15,Etimesgut,Yeni Bağlıca Mahallesi,3.0,1,170,39000,39.9007102,32.6397785
16,Yenimahalle,Avcılar Mahallesi,3.0,1,170,40000,39.9867879,32.7855435
17,Mamak,Hüseyingazi Mahallesi,3.0,1,125,30000,39.9328255,32.9125214
18,Keçiören,Aşağı Eğlence Mahallesi,3.0,1,110,25000,39.9715857,32.8378467
19,Keçiören,Osmangazi Mahallesi,3.0,1,125,25000,40.0137581,32.8604171
20,Beypazarı,Kurtuluş Mahallesi,2.0,1,75,24000,40.1600821,31.9158676
21,Çankaya,Çamlıtepe Mahallesi,2.0,1,90,30000,39.9267691,32.8698635
22,Sincan,Alcı Mahallesi,3.0,1,148,17500,,
23,Polatlı,Şehitlik Mahallesi,3.0,1,120,15000,39.5821905,32.1259406
24,Keçiören,İncirli Mahallesi,3.0,1,120,25000,39.9845847,32.846361
25,Mamak,Karaağaç Mahallesi,3.0,1,110,17000,39.9371026,32.9224707
26,Yenimahalle,Beştepe Mahallesi,2.0,1,90,35000,39.9243387,32.812235
27,Çankaya,Fakülteler Mahallesi,3.0,1,125,30000,39.930093,32.8735174
