,County,Neighborhood,Room,Saloon,m2,Price
0,Yenimahalle,Yeni Batı Mahallesi,1.0,1,55,35000
1,Etimesgut,Süvari Mahallesi,3.0,1,125,23500
2,Çankaya,Prof. Dr. Ahmet Taner Kışlalı Mahallesi,4.0,1,195,75000
3,Çankaya,Erzurum Mahallesi,2.0,1,80,17000
4,Çankaya,Konutkent Mahallesi,1.0,0,45,25000
5,Keçiören,Etlik Mahallesi,3.0,1,120,28500
6,Sincan,Atatürk Mahallesi,3.0,1,160,30000
7,Altındağ,Aydınlıkevler Mahallesi,1.0,1,75,21000
8,Mamak,Mehtap Mahallesi,3.0,1,115,16000
9,Mamak,Şahintepe Mahallesi,3.0,1,120,22000
10,Etimesgut,Yeni Bağlıca Mahallesi,3.5,1,165,53000
11,Keçiören,Pınarbaşı Mahallesi,3.0,1,110,21000
12,Yenimahalle,Çiğdemtepe Mahallesi,4.0,1,218,37000
13,Mamak,Derbent Mahallesi,3.0,1,120,25500
14,Keçiören,İncirli Mahallesi,2.0,1,115,10000
15,Etimesgut,Yeni Bağlıca Mahallesi,3.0,1,170,39000
16,Yenimahalle,Avcılar Mahallesi,3.0,1,170,40000
17,Mamak,Hüseyingazi Mahallesi,3.0,1,125,30000
18,Keçiören,Aşağı Eğlence Mahallesi,3.0,1,110,25000
19,Keçiören,Osmangazi Mahallesi,3.0,1,125,25000
20,Beypazarı,Kurtuluş Mahallesi,2.0,1,75,24000
21,Çankaya,Çamlıtepe Mahallesi,2.0,1,90,30000
22,Sincan,Alcı Mahallesi,3.0,1,148,17500
23,Polatlı,Şehitlik Mahallesi,3.0,1,120,15000
24,Keçiören,İncirli Mahallesi,3.0,1,120,25000
25,Mamak,Karaağaç Mahallesi,3.0,1,110,17000
26,Yenimahalle,Beştepe Mahallesi,2.0,1,90,35000
27,Çankaya,Fakülteler Mahallesi,3.0,1,125,30000
28,Altındağ,Aydınlıkevler Mahallesi,2.0,1,80,21000
29,Keçiören,Etlik Mahallesi,3.0,1,120,39000
30,Çankaya,Yaşamkent Mahallesi,1.0,1,55,32000
31,Çankaya,Yaşamkent Mahallesi,1.0,1,45,26500
32,Çankaya,Yaşamkent Mahallesi,1.0,1,35,23500
33,Mamak,Cengizhan Mahallesi,3.0,1,135,25000
34,Keçiören,Karargahtepe Mahallesi,2.0,1,90,21000
35,Altındağ,Hacettepe Mahallesi,3.0,1,95,25000
36,Keçiören,Bağlarbaşı Mahallesi,3.0,1,110,20500
37,Yenimahalle,Demetgül Mahallesi,3.0,1,130,21000
38,Etimesgut,Piyade Mahallesi,3.0,1,120,27000
39,Mamak,Diriliş Mahallesi,3.0,1,120,23000
40,Yenimahalle,Demetlale Mahallesi,3.0,1,130,25000
41,Keçiören,Emrah Mahallesi,2.0,1,100,26000
42,Sincan,Yunus Emre Mahallesi,3.5,1,120,19000
43,Keçiören,İncirli Mahallesi,2.0,1,100,17500
44,Etimesgut,Kazım Karabekir Mahallesi,3.0,1,120,25000
45,Çankaya,İşçi Blokları Mahallesi,3.0,1,110,37000
46,Etimesgut,Atayurt Mahallesi,3.0,1,137,21000
47,Sincan,Menderes Mahallesi,3.0,1,145,26000
48,Keçiören,Bağlarbaşı Mahallesi,3.0,1,115,22000
49,Etimesgut,Topçu Mahallesi,3.0,1,130,26000
50,Yenimahalle,Beştepe Mahallesi,3.0,1,110,40500
51,Yenimahalle,Yeni Batı Mahallesi,1.0,1,65,35000
52,Etimesgut,Bağlıca Mahallesi,4.0,1,175,51500
53,Altındağ,Beşikkaya Mahallesi,2.0,1,95,11000
54,Keçiören,Şehit Kubilay Mahallesi,3.0,1,115,23000
55,Etimesgut,Atayurt Mahallesi,2.0,1,94,16000
56,Altındağ,Gültepe Mahallesi,2.0,1,95,19000
57,Altındağ,Gültepe Mahallesi,2.0,1,85,25000
58,Gölbaşı,Bahçelievler Mahallesi,2.0,1,105,33000
59,Altındağ,Hacettepe Mahallesi,1.0,1,70,38500
60,Çankaya,Harbiye Mahallesi,3.0,1,120,25000
61,Çankaya,Birlik Mahallesi,4.0,1,140,32000
62,Çankaya,Prof. Dr. Ahmet Taner Kışlalı Mahallesi,4.0,1,195,75000
63,Sincan,Akşemsettin Mahallesi,2.0,1,100,18000
64,Keçiören,Yükseltepe Mahallesi,3.0,1,125,24000
65,Çankaya,Yaşamkent Mahallesi,2.0,1,95,35000
66,Sincan,Fatih Mahallesi,2.0,1,90,20000
67,Keçiören,İncirli Mahallesi,2.0,1,85,19000
68,Çankaya,Yukarı Bahçelievler Mahallesi,1.0,1,60,38000
69,Çankaya,Cebeci Mahallesi,2.0,1,75,14000
70,Keçiören,Ayvalı Mahallesi,2.0,1,110,19500
71,Çankaya,Alacaatlı Mahallesi,1.0,1,75,31500
72,Altındağ,Yıldıztepe Mahallesi,3.0,1,150,29000
73,Keçiören,Yayla Mahallesi,3.0,1,110,26500
74,Yenimahalle,Ergazi Mahallesi,3.0,1,120,35000
75,Gölbaşı,Örencik Mahallesi,1.0,1,55,18500
76,Gölbaşı,Bahçelievler Mahallesi,2.0,1,95,22500
77,Keçiören,Etlik Mahallesi,3.0,1,175,45000
78,Keçiören,Sancaktepe Mahallesi,3.0,1,115,23000
79,Keçiören,Şenlik Mahallesi,3.0,1,120,25000
80,Yenimahalle,Demetevler Mahallesi,3.0,1,115,23500
81,Keçiören,Şenyuva Mahallesi,3.0,1,140,25000
82,Sincan,Malazgirt Mahallesi,5.0,1,220,29000
83,Mamak,Cengizhan Mahallesi,3.0,1,120,25000
84,Mamak,General Zeki Doğan Mahallesi,3.0,1,95,21000
85,Yenimahalle,Ragıp Tüzün Mahallesi,2.0,1,105,27000
86,Sincan,Fatih Mahallesi,2.0,1,75,14300
87,Çubuk,Esenboğa Merkez Mahallesi,2.0,1,80,17000
88,Çankaya,Emek Mahallesi,3.0,1,120,40000
89,Çubuk,Esenboğa Merkez Mahallesi,2.0,1,80,17000
90,Çankaya,Emek Mahallesi,3.0,1,120,40000
91,Çankaya,Yücetepe Mahallesi,2.0,1,65,29000
92,Çankaya,Yukarı Bahçelievler Mahallesi,2.0,1,80,37000
93,Etimesgut,Şeyh Şamil Mahallesi,2.0,1,120,30000
94,Polatlı,Şehitlik Mahallesi,3.0,1,120,15000
95,Sincan,Andiçen Mahallesi,3.0,1,115,20000
96,Mamak,Abidinpaşa Mahallesi,3.0,1,135,22000
97,Sincan,Selçuklu Mahallesi,3.0,1,110,20000
98,Mamak,Şahintepe Mahallesi,3.0,1,100,18500
99,Etimesgut,Yeni Bağlıca Mahallesi,3.0,1,175,42000
100,Etimesgut,Bağlıca Mahallesi,4.0,1,203,59000
101,Gölbaşı,İncek Mahallesi,1.0,1,65,25000
102,Etimesgut,Eryaman Mahallesi,2.0,1,85,29000
103,Çankaya,Bahçelievler Mahallesi,4.0,1,150,39000
104,Gölbaşı,İncek Mahallesi,1.0,1,49,14500
105,Yenimahalle,İnönü Mahallesi,3.0,1,110,27000
106,Çubuk,Yıldırım Beyazıt Mahallesi,3.0,1,165,25000
107,Keçiören,Ayvalı Mahallesi,3.0,1,150,35000
108,Mamak,Çağlayan Mahallesi,3.0,1,120,22500
109,Çankaya,Yücetepe Mahallesi,3.0,1,110,26000
110,Mamak,Demirlibahçe Mahallesi,3.0,1,120,22500
111,Yenimahalle,İnönü Mahallesi,3.0,1,115,26500
112,Çankaya,Arka Topraklık Mahallesi,2.0,1,95,18000
113,Çankaya,Çamlıtepe Mahallesi,3.0,1,100,23000
114,Sincan,Fevzi Çakmak Mahallesi,3.0,1,145,27500
115,Keçiören,İncirli Mahallesi,6.0,1,300,30000
116,Keçiören,İncirli Mahallesi,3.0,1,110,21000
117,Çankaya,Maltepe Mahallesi,2.0,1,65,35000
118,Mamak,Durali Alıç Mahallesi,3.0,1,150,29999
119,Keçiören,İncirli Mahallesi,3.0,1,110,21000
120,Çankaya,Maltepe Mahallesi,2.0,1,65,35000
121,Mamak,Durali Alıç Mahallesi,3.0,1,150,29999
122,Mamak,Abidinpaşa Mahallesi,3.0,1,135,22000
123,Keçiören,Uyanış Mahallesi,2.0,1,90,18500
124,Keçiören,İncirli Mahallesi,2.0,1,100,16000
125,Mamak,Fahri Korutürk Mahallesi,3.0,1,125,23000
126,Mamak,Şirintepe Mahallesi,3.0,1,120,18000
127,Mamak,Abidinpaşa Mahallesi,2.0,1,90,17500
128,Yenimahalle,Gayret Mahallesi,3.0,1,110,36000
129,Çankaya,Maltepe Mahallesi,1.0,1,75,41000
130,Mamak,Hüseyingazi Mahallesi,2.0,1,85,24000
131,Mamak,Durali Alıç Mahallesi,3.0,1,135,25000
132,Keçiören,Kuşcağız Mahallesi,3.0,1,120,25000
133,Keçiören,Yayla Mahallesi,3.0,1,135,30000
134,Çankaya,Hilal Mahallesi,4.0,1,210,80000
135,Çankaya,Bahçelievler Mahallesi,2.0,1,80,28000
136,Akyurt,Balıkhisar Mahallesi,1.0,1,55,25000
137,Çankaya,Oran Mahallesi,2.0,1,120,37000
138,Etimesgut,Tunahan Mahallesi,1.0,1,60,22000
139,Keçiören,Şehit Kubilay Mahallesi,3.0,1,120,23500
140,Etimesgut,Piyade Mahallesi,3.0,1,130,26500
141,Yenimahalle,Mehmet Akif Ersoy Mahallesi,2.0,1,75,31750
142,Yenimahalle,Burç Mahallesi,3.0,1,130,20000
143,Altındağ,Karacaören Mahallesi,2.0,1,100,15600
144,Çankaya,Çankaya Mahallesi,3.0,1,160,40000
145,Çankaya,Konutkent Mahallesi,1.0,1,50,24750
146,Yenimahalle,Demetevler Mahallesi,3.0,1,135,34000
147,Mamak,Demirlibahçe Mahallesi,3.0,1,130,27500
148,Çankaya,Kazım Özalp Mahallesi,2.0,1,80,32000
149,Sincan,Çoğlu Mahallesi,3.0,1,130,25000
150,Sincan,Osmanlı Mahallesi,3.0,1,130,20000
151,Sincan,İstasyon Mahallesi,3.0,1,130,32000
152,Yenimahalle,Yeni Batı Mahallesi,1.0,1,65,30000
153,Çankaya,Yukarı Bahçelievler Mahallesi,2.0,1,100,63000
154,Sincan,Mareşal Çakmak Mahallesi,3.0,1,130,1750000
155,Sincan,Fevzi Çakmak Mahallesi,3.0,1,145,26000
156,Sincan,Saraycık Mahallesi,4.0,1,180,33000
157,Sincan,Pınarbaşı Mahallesi,3.0,1,135,25000
158,Keçiören,İncirli Mahallesi,3.0,1,130,33000
159,Keçiören,Aşağı Eğlence Mahallesi,2.0,1,85,22500
160,Akyurt,Balıkhisar Mahallesi,1.0,1,55,25000
161,Çankaya,Büyükesat Mahallesi,3.0,1,140,30000
162,Çankaya,Cevizlidere Mahallesi,3.0,1,145,45000
163,Pursaklar,Saray Cumhuriyet Mahallesi,2.0,1,90,24000
164,Sincan,Hürriyet Mahallesi,3.0,1,150,15000
165,Yenimahalle,Pamuklar Mahallesi,3.0,1,130,30000
166,Çankaya,Beytepe Mahallesi,1.0,1,60,35000
167,Çankaya,Yukarı Bahçelievler Mahallesi,1.0,1,50,40000
168,Yenimahalle,Yunus Emre Mahallesi,3.0,1,160,35000
169,Çubuk,Yıldırım Beyazıt Mahallesi,3.0,1,138,18000
170,Keçiören,Etlik Mahallesi,3.0,1,125,27000
171,Yenimahalle,Yeni Batı Mahallesi,1.0,1,70,30000
172,Çankaya,Birlik Mahallesi,3.0,1,100,35000
173,Etimesgut,Şehit Osman Avcı Mahallesi,2.0,1,100,23000
174,Etimesgut,Eryaman Mahallesi,1.0,1,60,19750
175,Kızılcahamam,Yenice Mahallesi,1.0,1,55,700000
176,Yenimahalle,Yeni Batı Mahallesi,1.0,1,65,30000
177,Sincan,Plevne Mahallesi,3.0,1,120,15000
178,Yenimahalle,Kentkoop Mahallesi,3.0,1,110,28000
179,Yenimahalle,Yuvaköy Mahallesi,2.0,1,85,39000
180,Yenimahalle,Ostim Mahallesi,4.0,1,145,40000
181,Sincan,Fevzi Çakmak Mahallesi,3.0,1,135,25500
182,Altındağ,Yıldıztepe Mahallesi,3.0,1,125,27000
183,Altındağ,Hacettepe Mahallesi,1.0,1,85,41000
184,Mamak,Gülveren Mahallesi,3.0,1,120,25000
185,Çankaya,Cebeci Mahallesi,3.0,1,120,25000
186,Çankaya,Cebeci Mahallesi,2.0,1,90,25000
187,Mamak,Demirlibahçe Mahallesi,3.0,1,120,18000
188,Çankaya,Ertuğrulgazi Mahallesi,3.0,1,100,23000
189,Mamak,Demirlibahçe Mahallesi,1.0,1,70,20000
190,Mamak,Demirlibahçe Mahallesi,2.0,1,90,20000
191,Çankaya,Fakülteler Mahallesi,3.0,1,100,30000
192,Çankaya,Çamlıtepe Mahallesi,3.0,1,105,25000
193,Çankaya,Umut Mahallesi,5.0,1,200,42500
194,Mamak,Demirlibahçe Mahallesi,3.0,1,110,22000
195,Yenimahalle,Turgut Özal Mahallesi,3.0,1,135,42000
196,Çankaya,Cebeci Mahallesi,2.0,1,75,25000
197,Çankaya,Maltepe Mahallesi,3.0,1,125,32000
198,Yenimahalle,Demetevler Mahallesi,3.0,1,120,22500
199,Pursaklar,Saray Osmangazi Mahallesi,1.0,1,30,16000
200,Çankaya,Dumlupınar Mahallesi,4.0,1,200,53000
201,Çankaya,Küçükesat Mahallesi,3.0,1,110,30000
202,Etimesgut,Tunahan Mahallesi,1.0,1,65,23000
203,Çankaya,Remzi Oğuz Arık Mahallesi,3.0,1,130,41000
204,Keçiören,Kavacık Subayevleri Mahallesi,3.0,1,120,22000
205,Çankaya,Bayraktar Mahallesi,3.0,1,120,23000
206,Gölbaşı,İncek Mahallesi,3.0,1,150,10000
207,Keçiören,Ayvalı Mahallesi,3.0,1,135,24000
208,Keçiören,19 Mayıs Mahallesi,3.0,1,135,22000
209,Çankaya,Ümit Mahallesi,4.0,1,155,45000
210,Çankaya,Keklik Pınarı Mahallesi,3.0,1,115,23500
211,Sincan,Andiçen Mahallesi,3.0,1,135,30999
212,Çankaya,100. Yıl Mahallesi,3.0,1,170,30000
213,Polatlı,Kurtuluş Mahallesi,5.0,1,175,15000
214,Yenimahalle,Demetlale Mahallesi,3.0,1,100,25000
215,Polatlı,Fatih Mahallesi,3.0,1,135,13500
216,Keçiören,Aşağı Eğlence Mahallesi,3.0,1,120,23000
217,Çankaya,Aşağı Öveçler Mahallesi,1.0,1,75,26500
218,Keçiören,19 Mayıs Mahallesi,3.0,1,125,18500
219,Çankaya,Bahçelievler Mahallesi,2.0,1,110,40000
220,Altındağ,Battalgazi Mahallesi,2.0,1,95,15000
221,Çankaya,Emek Mahallesi,1.0,1,60,40000
222,Çankaya,Bahçelievler Mahallesi,3.0,1,120,43000
223,Mamak,Şehit Cengiz Topel Mahallesi,3.0,1,175,35000
224,Keçiören,Güzelyurt Mahallesi,3.0,1,125,23000
225,Yenimahalle,Aşağı Yahyalar Mahallesi,1.0,1,70,23000
226,Sincan,Pınarbaşı Mahallesi,3.0,1,125,20500
227,Sincan,Fevzi Çakmak Mahallesi,1.0,1,60,21000
228,Sincan,Plevne Mahallesi,3.0,1,125,22000
229,Çankaya,Keklik Pınarı Mahallesi,3.0,1,110,40000
230,Çankaya,Bahçelievler Mahallesi,3.0,1,115,45000
231,Çankaya,Bahçelievler Mahallesi,3.0,1,120,55000
232,Yenimahalle,Gazi Mahallesi,1.0,1,50,36000
233,Yenimahalle,Gazi Mahallesi,1.0,1,50,35000
234,Yenimahalle,25 Mart Mahallesi,2.0,1,105,26000
235,Altındağ,Yıldıztepe Mahallesi,2.0,1,110,36500
236,Altındağ,Yıldıztepe Mahallesi,3.0,1,135,26500
237,Çankaya,Aşağı Öveçler Mahallesi,3.0,1,145,28000
238,Mamak,Durali Alıç Mahallesi,3.0,1,135,35000
239,Mamak,Durali Alıç Mahallesi,3.0,1,135,35000
240,Yenimahalle,Avcılar Mahallesi,3.0,1,120,30000
241,Etimesgut,Piyade Mahallesi,2.0,1,105,22000
242,Etimesgut,Turkuaz Mahallesi,2.0,1,100,25000
243,Etimesgut,Topçu Mahallesi,2.0,1,110,23000
244,Yenimahalle,Yunus Emre Mahallesi,3.0,1,160,35000
245,Çankaya,Ayrancı Mahallesi,3.0,1,130,35000
246,Çankaya,Metin Akkuş Mahallesi,3.0,1,125,35000
247,Etimesgut,Topçu Mahallesi,3.0,1,140,23000
248,Çankaya,Birlik Mahallesi,4.0,1,150,31000
249,Çankaya,Fakülteler Mahallesi,2.0,1,80,25000
250,Yenimahalle,Varlık Mahallesi,2.0,1,80,47500
251,Keçiören,Ovacık Mahallesi,4.0,1,200,40000
252,Etimesgut,Göksu Mahallesi,4.0,1,177,67500
253,Çankaya,Anıttepe Mahallesi,2.0,1,140,52000
254,Çankaya,Emek Mahallesi,2.0,1,100,28000
255,Çankaya,Şehit Cevdet Özdemir Mahallesi,2.5,1,95,23000
256,Yenimahalle,İnönü Mahallesi,2.0,1,115,55000
257,Sincan,Menderes Mahallesi,3.0,1,130,29500
258,Sincan,Mustafa Kemal Mahallesi,4.0,1,165,32000
259,Çankaya,100. Yıl Mahallesi,6.0,2,300,65000
260,Keçiören,Basınevleri Mahallesi,1.0,1,55,22250
261,Yenimahalle,Tepealtı Mahallesi,2.0,1,90,18000
262,Yenimahalle,Esentepe Mahallesi,3.0,1,125,35000
263,Etimesgut,Bağlıca Mahallesi,3.0,1,150,40000
264,Etimesgut,Yeni Bağlıca Mahallesi,4.0,1,180,47000
265,Etimesgut,Şehit Osman Avcı Mahallesi,1.0,0,35,17000
266,Pursaklar,Saray Cumhuriyet Mahallesi,3.0,1,149,34500
267,Pursaklar,Saray Cumhuriyet Mahallesi,4.0,1,211,40000
268,Pursaklar,Saray Cumhuriyet Mahallesi,3.0,1,149,29500
269,Etimesgut,Atakent Mahallesi,3.0,1,110,32000
270,Keçiören,Kanuni Mahallesi,3.0,1,120,31000
271,Çankaya,Oran Mahallesi,1.0,1,65,35000
272,Çankaya,Çamlıtepe Mahallesi,2.0,1,100,25250
273,Çankaya,Bahçelievler Mahallesi,3.0,1,130,40000
274,Çankaya,Yukarı Bahçelievler Mahallesi,3.0,1,125,35000
275,Çankaya,Murat Mahallesi,3.0,1,130,30000
276,Çankaya,Oran Mahallesi,4.0,1,212,95000
277,Etimesgut,30 Ağustos Mahallesi,3.0,1,110,24000
278,Etimesgut,Süvari Mahallesi,3.0,0,110,22000
279,Etimesgut,Kazım Karabekir Mahallesi,3.0,1,125,27000
280,Keçiören,Bademlik Mahallesi,3.0,1,130,16500
281,Keçiören,Uyanış Mahallesi,3.0,1,125,26500
282,Akyurt,Yeşiltepe Mahallesi,3.0,1,140,21000
283,Mamak,Şirintepe Mahallesi,2.0,1,100,17500
284,Mamak,Durali Alıç Mahallesi,3.0,1,135,25500
285,Sincan,Tandoğan Mahallesi,3.0,1,115,19000
286,Etimesgut,Şehit Osman Avcı Mahallesi,1.0,0,55,23000
287,Mamak,Akşemsettin Mahallesi,3.0,1,160,39999
288,Mamak,Zirvekent Mahallesi,1.0,1,70,13250
289,Mamak,Hüseyingazi Mahallesi,3.0,1,135,25000
290,Yenimahalle,İnönü Mahallesi,4.0,1,200,69000
291,Çankaya,Bahçelievler Mahallesi,3.0,1,120,33000
292,Yenimahalle,Ergazi Mahallesi,3.0,1,125,31000
293,Çankaya,Korkutreis Mahallesi,1.0,1,35,17000
294,Çankaya,Emek Mahallesi,2.0,1,80,31000
295,Çankaya,Ayrancı Mahallesi,2.0,1,95,35000
296,Keçiören,Bağlarbaşı Mahallesi,3.0,1,130,25000
297,Gölbaşı,Taşpınar Mahallesi,2.0,1,85,36500
298,Mamak,Başak Mahallesi,3.0,1,110,20000
299,Mamak,Hürel Mahallesi,2.0,1,90,22000
300,Akyurt,Yıldırım Mahallesi,3.0,1,115,14500
301,Çankaya,Konutkent Mahallesi,1.0,1,36,27500
302,Etimesgut,Topçu Mahallesi,3.0,1,110,25000
303,Keçiören,Yükseltepe Mahallesi,4.0,1,200,40000
304,Keçiören,Etlik Mahallesi,3.0,1,120,25000
305,Çankaya,Kültür Mahallesi,4.0,1,180,45000
306,Yenimahalle,Mehmet Akif Ersoy Mahallesi,2.0,1,80,30250
307,Keçiören,Aşağı Eğlence Mahallesi,2.0,1,85,22500
308,Sincan,Tandoğan Mahallesi,2.0,1,90,16500
309,Yenimahalle,Demetlale Mahallesi,1.0,1,90,18000
310,Yenimahalle,Yeni Batı Mahallesi,4.0,1,175,45000
311,Keçiören,Aşağı Eğlence Mahallesi,2.0,1,105,22500
312,Çankaya,Karapınar Mahallesi,4.0,1,165,27000
313,Yenimahalle,Turgut Özal Mahallesi,4.0,1,185,57000
314,Çankaya,Bahçelievler Mahallesi,3.0,0,110,35000
315,Mamak,Şirintepe Mahallesi,3.0,1,130,24000
316,Mamak,Kıbrısköy Mahallesi,3.0,1,130,27000
317,Mamak,Altıağaç Mahallesi,2.0,1,100,23500
318,Keçiören,İncirli Mahallesi,2.0,1,110,23000
319,Altındağ,Hacettepe Mahallesi,1.0,1,35,25000
320,Yenimahalle,Batı Sitesi Mahallesi,1.0,1,70,24500
321,Altındağ,Solfasol Mahallesi,3.0,1,160,30000
322,Mamak,Altınevler Mahallesi,3.0,1,135,24000
323,Keçiören,Bademlik Mahallesi,3.0,1,105,13500
324,Keçiören,Şehit Kubilay Mahallesi,3.0,1,105,21000
325,Polatlı,Fatih Mahallesi,3.0,1,140,19000
326,Polatlı,Zafer Mahallesi,3.0,1,115,12000
327,Polatlı,Zafer Mahallesi,3.0,1,115,12000
328,Çankaya,Alacaatlı Mahallesi,1.0,1,50,27000
329,Polatlı,Şentepe Mahallesi,3.0,1,150,13000
330,Yenimahalle,Tepealtı Mahallesi,3.0,1,165,46000
331,Mamak,Balkiraz Mahallesi,2.0,1,90,15000
332,Etimesgut,Şeyh Şamil Mahallesi,1.0,1,58,24000
333,Çankaya,100. Yıl Mahallesi,3.0,1,170,30000
334,Keçiören,Yayla Mahallesi,4.0,1,155,32000
335,Etimesgut,Topçu Mahallesi,3.0,1,110,25000
336,Etimesgut,Oğuzlar Mahallesi,3.0,1,110,26000
337,Etimesgut,Oğuzlar Mahallesi,3.0,1,110,25000
338,Çankaya,Küçükesat Mahallesi,1.0,1,90,37500
339,Etimesgut,Yavuz Selim Mahallesi,1.0,1,60,25900
340,Sincan,Atatürk Mahallesi,3.0,1,130,17500
341,Etimesgut,Aşağıyurtçu Mahallesi,2.0,1,120,23000
342,Yenimahalle,Gayret Mahallesi,2.0,1,100,25000
343,Çankaya,Kültür Mahallesi,3.0,1,125,32000
344,Altındağ,Güneşevler Mahallesi,4.0,1,165,44000
345,Keçiören,Şefkat Mahallesi,3.0,1,90,15000
346,Çankaya,Ertuğrulgazi Mahallesi,2.0,1,85,18500
347,Yenimahalle,Demetgül Mahallesi,3.0,1,130,19500
348,Mamak,Aşık Veysel Mahallesi,3.0,1,120,19500
349,Mamak,Şirintepe Mahallesi,3.0,1,130,23000
350,Sincan,Mareşal Çakmak Mahallesi,3.0,1,130,18000
351,Mamak,Çağlayan Mahallesi,3.0,1,128,21500
352,Yenimahalle,Barış Mahallesi,2.0,1,125,33000
353,Yenimahalle,Yeni Batı Mahallesi,1.0,1,55,27000
354,Yenimahalle,Ergazi Mahallesi,3.0,1,110,30000
355,Yenimahalle,Yeni Batı Mahallesi,1.5,1,70,30000
356,Mamak,Misket Mahallesi,4.0,1,155,30000
357,Sincan,Tandoğan Mahallesi,3.0,1,105,18000
358,Keçiören,Esertepe Mahallesi,3.0,1,132,25000
359,Etimesgut,İstasyon Mahallesi,3.0,1,120,30000
360,Sincan,Alcı Mahallesi,3.0,1,145,14500
361,Keçiören,Tepebaşı Mahallesi,3.0,1,105,21000
362,Çankaya,Mebusevleri Mahallesi,3.0,1,125,40000
363,Çankaya,Büyükesat Mahallesi,3.0,1,135,55000
364,Çankaya,İlkbahar Mahallesi,2.0,1,160,50000
365,Çankaya,Koru Mahallesi,3.0,1,120,50000
366,Yenimahalle,Mehmet Akif Ersoy Mahallesi,3.0,1,135,57500
367,Yenimahalle,Ergenekon Mahallesi,3.0,1,115,17500
368,Keçiören,Etlik Mahallesi,3.0,1,155,29000
369,Keçiören,Çiçekli Mahallesi,3.0,1,125,20000
370,Yenimahalle,Yeni Batı Mahallesi,2.0,1,90,40000
371,Keçiören,Bağlarbaşı Mahallesi,3.0,1,170,22000
372,Mamak,Şafaktepe Mahallesi,3.0,1,110,18000
373,Çankaya,Sokullu Mehmet Paşa Mahallesi,3.0,1,125,27500
374,Etimesgut,Atayurt Mahallesi,2.0,1,85,22000
375,Çubuk,Dumlupınar Mahallesi,2.0,1,60,18500
376,Mamak,Diriliş Mahallesi,3.0,1,120,25000
377,Yenimahalle,Beştepe Mahallesi,4.0,1,260,70000
378,Yenimahalle,Barıştepe Mahallesi,3.0,1,140,32500
379,Sincan,Plevne Mahallesi,3.0,1,125,16500
380,Keçiören,Emrah Mahallesi,2.0,1,100,20500
381,Keçiören,Aşağı Eğlence Mahallesi,3.0,1,125,21500
382,Keçiören,Çiçekli Mahallesi,1.0,1,92,18000
383,Çankaya,Bahçelievler Mahallesi,2.0,1,90,48000
384,Altındağ,Aydınlıkevler Mahallesi,2.0,1,90,25000
385,Keçiören,Esertepe Mahallesi,3.0,1,120,22000
386,Gölbaşı,Seğmenler Mahallesi,3.0,1,115,30000
387,Mamak,Altıağaç Mahallesi,3.0,1,110,25000
388,Etimesgut,İstasyon Mahallesi,2.0,1,90,26000
389,Gölbaşı,Karşıyaka Mahallesi,3.0,1,150,35000
390,Keçiören,Esertepe Mahallesi,3.0,1,128,25000
391,Keçiören,Güçlükaya Mahallesi,3.0,1,120,25000
392,Keçiören,İncirli Mahallesi,4.0,1,175,36000
393,Keçiören,Yükseltepe Mahallesi,3.0,1,138,25000
394,Yenimahalle,Yunus Emre Mahallesi,3.0,1,125,30000
395,Etimesgut,30 Ağustos Mahallesi,3.0,1,115,19000
396,Çankaya,Çamlıtepe Mahallesi,2.0,1,90,35000
397,Çankaya,Ayrancı Mahallesi,2.0,1,90,29000
398,Etimesgut,Piyade Mahallesi,3.0,1,120,31000
